Program Code,Program Name,College
BS Psych,Bachelor of Science in Psychology,CASS
BA SocSci,Bachelor of Arts in Social Science,CASS
BA Comm,Bachelor of Arts in Communication,CASS
BA Hist,Bachelor of Arts in History,CASS
BA Phil,Bachelor of Arts in Philosophy,CASS
BA Eng,Bachelor of Arts in English,CASS
BA Filipino,Bachelor of Arts in Filipino,CASS
BAELS,Bachelor of Arts in English Language Studies,CASS
BS Math,Bachelor of Science in Mathematics,CSM
BS Bio,Bachelor of Science in Biology,CSM
BS Chem,Bachelor of Science in Chemistry,CSM
BS Micro Bio,Bachelor of Science in Microbiology,CSM
BS Stat,Bachelor of Science in Statistics,CSM
BS Physics,Bachelor of Science in Physics,CSM
BS Marine Bio,Bachelor of Science in Marine Biology,CSM
BS Biodiv,Bachelor of Science in Biodiversity,CSM
BS Animal Bio,Bachelor of Science in Animal Biology,CSM
BSCE,Bachelor of Science in Civil Engineering,COE
BSEE,Bachelor of Science in Electrical Engineering,COE
BSME,Bachelor of Science in Mechanical Engineering,COE
BSChE,Bachelor of Science in Chemical Engineering,COE
BSECE,Bachelor of Science in Electronics Engineering,COE
BSMETE,Bachelor of Science in Metallurgical Engineering,COE
BSCerE,Bachelor of Science in Ceramic Engineering,COE
BSEnviE,Bachelor of Science in Environmental Engineering,COE
BSCS,Bachelor of Science in Computer Science,CCS
BSIT,Bachelor of Science in Information Technology,CCS
BSIS,Bachelor of Science in Information Systems,CCS
BSCA,Bachelor of Science in Computer Applications,CCS
BSBA-MM,Bachelor of Science in Business Administration - Marketing Management,CEBA
BSBA-HRM,Bachelor of Science in Business Administration - Human Resource Management,CEBA
BSA,Bachelor of Science in Accountancy,CEBA
BSE,Bachelor of Science in Entrepreneurship,CEBA
BS Econ,Bachelor of Science in Economics,CEBA
BS Finance,Bachelor of Science in Finance,CEBA
BSN,Bachelor of Science in Nursing,CHS
